compliance,acceleration,deceleration,result,cluster3,cluster_cd,cluster_ca,cluster_ad
3,5,4,94,7,6,2,3
1,5,1,27,6,3,3,1
1,4,3,42,4,1,1,6
1,5,1,24,6,3,3,1
4,5,5,75,2,4,5,2
1,1,3,25,6,3,3,1
3,4,5,45,4,1,1,6
5,5,5,91,7,7,4,5
3,5,4,83,2,5,5,2
1,5,3,46,4,1,1,6
2,3,2,30,5,3,6,4
3,5,5,95,7,6,2,3
5,5,5,100,7,6,2,3
3,5,5,79,2,5,5,2
4,4,3,91,7,7,4,5
4,5,4,89,7,7,4,5
3,5,4,59,3,2,7,7
4,5,4,85,2,5,4,5
5,5,5,90,7,7,4,5
3,5,3,92,7,7,4,5
5,5,5,99,7,6,2,3
3,3,1,35,5,3,6,4
5,1,1,32,5,3,6,4
1,3,1,38,4,1,6,4
1,1,1,23,6,3,3,1
2,5,5,45,4,1,1,6
4,5,5,70,3,4,7,7
5,4,4,90,7,7,4,5
5,3,1,94,7,6,2,3
5,5,1,31,5,3,6,4
3,5,5,91,7,7,4,5
3,3,1,56,1,2,7,7
1,2,1,24,6,3,3,1
3,5,5,87,7,7,4,5
3,4,3,68,3,4,7,7
1,1,5,53,1,2,1,6
1,3,4,50,1,1,1,6
5,4,3,62,3,2,7,7
5,3,4,89,7,7,4,5
2,5,5,60,3,2,7,7
5,5,1,31,5,3,6,4
1,1,1,24,6,3,3,1
1,5,4,43,4,1,1,6
5,5,5,98,7,6,2,3
4,5,4,88,7,7,4,5
1,2,1,24,6,3,3,1
3,5,4,74,2,4,5,2
3,5,3,62,3,2,7,7
5,4,5,99,7,6,2,3
2,5,5,68,3,4,7,7
5,5,4,91,7,7,4,5
5,5,5,98,7,6,2,3
1,2,3,25,6,3,3,1
3,5,5,76,2,4,5,2
1,1,1,25,6,3,3,1
1,5,3,31,5,3,6,4
4,5,5,96,7,6,2,3
1,1,1,28,6,3,3,1
2,5,5,68,3,4,7,7
5,3,2,67,3,4,7,7
4,5,2,89,7,7,4,5
1,3,3,40,4,1,1,6
1,3,4,50,1,1,1,6
5,5,3,82,2,5,5,2
1,4,1,27,6,3,3,1
3,5,4,81,2,5,5,2
2,5,3,43,4,1,1,6
1,3,5,49,1,1,1,6
5,5,5,90,7,7,4,5
1,5,3,32,5,3,6,4
5,5,5,92,7,7,4,5
4,5,5,89,7,7,4,5
2,5,4,48,1,1,1,6
1,5,4,39,4,1,6,6
4,5,5,99,7,6,2,3
3,5,5,93,7,7,2,3
1,5,5,58,1,2,7,7
1,5,3,46,4,1,1,6
3,3,3,75,2,4,5,2
1,3,1,31,5,3,6,4
1,1,1,24,6,3,3,1
4,5,5,94,7,6,2,3
4,5,4,89,7,7,4,5
3,5,3,82,2,5,5,2
4,5,4,81,2,5,5,2
1,3,1,31,5,3,6,4
5,4,3,62,3,2,7,7
3,2,4,68,3,4,7,7
3,3,3,74,2,4,5,2
5,5,5,98,7,6,2,3
1,4,3,30,5,3,6,4
5,5,5,87,7,7,4,5
3,4,3,73,2,4,5,2
2,3,4,53,1,2,1,6
4,5,4,89,7,7,4,5
3,5,5,82,2,5,5,2
4,5,5,77,2,4,5,2
4,4,4,97,7,6,2,3
3,4,5,90,7,7,4,5
5,5,5,95,7,6,2,3
5,5,5,94,7,6,2,3
3,5,5,87,7,7,4,5
1,5,5,28,5,3,3,4
2,1,1,24,6,3,3,1
4,5,4,89,7,7,4,5
3,3,5,66,3,2,7,7
1,5,1,24,6,3,3,1
5,5,4,76,2,4,5,2
4,4,3,91,7,7,4,5
1,4,3,42,4,1,1,6
3,5,4,74,2,4,5,2
2,5,4,46,4,1,1,6
4,5,5,98,7,6,2,3
1,5,5,63,3,2,7,7
3,5,3,92,7,7,4,5
3,4,5,78,2,5,5,2
1,5,3,38,4,1,6,4
3,2,5,76,2,4,5,2
2,5,5,82,2,5,5,2
3,5,3,63,3,2,7,7
1,2,1,23,6,3,3,1
3,5,5,98,7,6,2,3
4,5,2,77,2,4,5,2
4,4,4,92,7,7,4,5
4,5,5,75,2,4,5,2
5,5,5,97,7,6,2,3
4,5,5,99,7,6,2,3
3,4,3,90,7,7,4,5
3,4,5,90,7,7,4,5
3,3,3,65,3,2,7,7
3,3,1,56,1,2,7,7
2,5,3,63,3,2,7,7
2,5,3,55,1,2,7,7
1,4,4,51,1,1,1,6
3,5,5,56,1,2,7,7
2,5,3,41,4,1,1,6
2,4,3,41,4,1,1,6
3,4,3,49,1,1,1,6
3,5,5,82,2,5,5,2
5,5,5,95,7,6,2,3
5,3,4,92,7,7,4,5
5,1,5,94,7,6,2,3
4,5,5,97,7,6,2,3
1,3,2,33,5,3,6,4
4,5,5,95,7,6,2,3
1,1,1,23,6,3,3,1
3,5,5,93,7,7,2,3
3,5,3,73,2,4,5,2
2,5,5,48,1,1,1,6
5,5,5,94,7,6,2,3
3,5,4,81,2,5,5,2
5,5,5,99,7,6,2,3
3,5,5,97,7,6,2,3
2,4,3,63,3,2,7,7
3,4,3,73,2,4,5,2
5,3,3,95,7,6,2,3
3,5,5,94,7,6,2,3
3,5,5,92,7,7,4,5
2,4,3,53,1,2,1,6
5,5,5,94,7,6,2,3
1,3,1,31,5,3,6,4
1,3,3,25,6,3,3,1
1,5,3,31,5,3,6,4
3,5,3,76,2,4,5,2
4,4,4,91,7,7,4,5
2,3,1,29,5,3,6,4
3,5,5,93,7,7,2,3
1,5,5,28,5,3,3,4
3,5,5,77,2,4,5,2
5,5,3,95,7,6,2,3
1,2,3,25,6,3,3,1
5,5,5,88,7,7,4,5
3,3,5,43,4,1,1,6
5,5,3,85,2,5,4,5
2,5,3,43,4,1,1,6
3,4,3,80,2,5,5,2
3,5,5,89,7,7,4,5
3,3,5,66,3,2,7,7
1,4,3,38,4,1,6,4
1,5,5,45,4,1,1,6
4,5,5,88,7,7,4,5
5,5,5,92,7,7,4,5
