compl,accel,decel,result,cluster_r,cluster_cr,cluster_ar,cluster_dr,cluster_car,cluster_cdr,cluster_adr,cluster_cadr
3,3,1,56,1,14,10,1,1,2,1,1
2,5,3,63,2,7,18,1,1,2,2,1
2,5,3,55,1,23,18,1,1,2,2,1
1,4,4,51,1,16,20,1,1,2,2,1
3,5,5,56,1,14,18,2,2,1,2,2
2,5,3,41,1,23,21,1,1,2,1,1
2,4,3,41,1,23,15,1,1,2,1,1
3,4,3,49,1,4,20,1,1,2,1,1
3,5,5,82,3,3,5,2,2,1,2,2
5,5,5,95,3,6,7,2,2,1,2,2
5,3,4,92,3,6,4,2,2,1,2,2
5,1,5,94,3,6,3,2,2,1,2,2
4,5,5,97,3,5,7,2,2,1,2,2
1,3,2,33,4,21,16,1,1,2,1,1
4,5,5,95,3,5,7,2,2,1,2,2
1,1,1,23,4,21,2,1,1,2,1,1
3,5,5,93,3,12,7,2,2,1,2,2
3,5,3,73,2,17,5,2,2,1,2,2
2,5,5,48,1,23,21,2,1,2,2,2
5,5,5,94,3,6,7,2,2,1,2,2
3,5,4,81,3,3,5,2,2,1,2,2
5,5,5,99,3,20,7,2,2,1,2,2
3,5,5,97,3,18,7,2,2,1,2,2
2,4,3,63,2,7,23,1,1,2,1,1
3,4,3,73,2,17,22,2,2,1,2,2
5,3,3,95,3,6,4,2,2,1,2,2
3,5,5,94,3,18,7,2,2,1,2,2
3,5,5,92,3,12,11,2,2,1,2,2
2,4,3,53,1,23,20,1,1,2,1,1
5,5,5,94,3,6,7,2,2,1,2,2
1,3,1,31,4,21,16,1,1,2,1,1
1,3,3,25,4,21,9,1,1,2,1,1
1,5,3,31,4,21,13,1,1,2,1,1
3,5,3,76,2,8,5,2,2,1,2,2
4,4,4,91,3,24,19,2,2,1,2,2
2,3,1,29,4,9,16,1,1,2,1,1
3,5,5,93,3,12,7,2,2,1,2,2
1,5,5,28,4,21,13,1,1,2,2,1
3,5,5,77,2,8,5,2,2,1,2,2
5,5,3,95,3,6,7,2,2,1,2,2
1,2,3,25,4,21,6,1,1,2,1,1
5,5,5,88,3,1,11,2,2,1,2,2
3,3,5,43,1,4,8,2,1,1,1,1
5,5,3,85,3,1,11,2,2,1,2,2
2,5,3,43,1,23,21,1,1,2,1,1
3,4,3,80,2,3,17,2,2,1,2,2
3,5,5,89,3,22,11,2,2,1,2,2
3,3,5,66,2,2,14,2,1,1,2,2
1,4,3,38,1,13,15,1,1,2,1,1
1,5,5,45,1,13,21,2,1,2,2,1
4,5,5,88,3,24,11,2,2,1,2,2
5,5,5,92,3,6,11,2,2,1,2,2
