compl,accel,decel,pred,answer,loss
1,1,1,23.82860184,23,0.828601837
1,1,1,23.82860184,24,-0.171398163
1,1,2,21.64439201,21,0.644392014
1,1,2,21.64439201,22,-0.355607986
1,1,3,24.26360321,24,0.26360321
1,1,3,24.26360321,25,-0.73639679
1,1,4,35.20898056,35,0.20898056
1,1,4,35.20898056,36,-0.79101944
1,1,5,50.80095291,50,0.800952911
1,1,5,50.80095291,51,-0.199047089
1,2,1,23.39838791,23,0.398387909
1,2,1,23.39838791,24,-0.601612091
1,2,2,26.29940414,26,0.299404144
1,2,2,26.29940414,27,-0.700595856
1,2,3,26.01161003,26,0.011610031
1,2,3,26.01161003,27,-0.988389969
1,2,4,32.71478653,32,0.71478653
1,2,4,32.71478653,33,-0.28521347
1,2,5,45.07413483,45,0.074134827
1,2,5,45.07413483,46,-0.925865173
1,3,1,31.5871048,31,0.587104797
1,3,1,31.5871048,32,-0.412895203
1,3,2,31.20238495,31,0.202384949
1,3,2,31.20238495,32,-0.797615051
1,3,3,30.62664032,30,0.62664032
1,3,3,30.62664032,31,-0.37335968
1,3,4,47.17692184,47,0.176921844
1,3,4,47.17692184,48,-0.823078156
1,3,5,49.36680984,49,0.366809845
1,3,5,49.36680984,50,-0.633190155
1,4,1,26.4037323,26,0.4037323
1,4,1,26.4037323,27,-0.5962677
1,4,2,34.71289444,34,0.71289444
1,4,2,34.71289444,35,-0.28710556
1,4,3,38.18418503,38,0.184185028
1,4,3,38.18418503,39,-0.815814972
1,4,4,47.65074921,47,0.650749207
1,4,4,47.65074921,48,-0.349250793
1,4,5,61.0190239,61,0.019023895
1,4,5,61.0190239,62,-0.980976105
1,5,1,24.07415009,24,0.074150085
1,5,1,24.07415009,25,-0.925849915
1,5,2,33.18244171,33,0.182441711
1,5,2,33.18244171,34,-0.817558289
1,5,3,36.30926514,36,0.309265137
1,5,3,36.30926514,37,-0.690734863
1,5,4,39.66219711,39,0.662197113
1,5,4,39.66219711,40,-0.337802887
1,5,5,44.46443558,44,0.464435577
1,5,5,44.46443558,45,-0.535564423
2,1,1,24.06098175,24,0.06098175
2,1,1,24.06098175,25,-0.93901825
2,1,2,35.60252762,35,0.602527618
2,1,2,35.60252762,36,-0.397472382
2,1,3,41.89580917,41,0.895809174
2,1,3,41.89580917,42,-0.104190826
2,1,4,45.60317612,45,0.603176117
2,1,4,45.60317612,46,-0.396823883
2,1,5,53.13572693,53,0.135726929
2,1,5,53.13572693,54,-0.864273071
2,2,1,34.89706039,34,0.897060394
2,2,1,34.89706039,35,-0.102939606
2,2,2,42.91570282,42,0.91570282
2,2,2,42.91570282,43,-0.08429718
2,2,3,43.25387573,43,0.253875732
2,2,3,43.25387573,44,-0.746124268
2,2,4,40.64703751,40,0.647037506
2,2,4,40.64703751,41,-0.352962494
2,2,5,42.24715424,42,0.247154236
2,2,5,42.24715424,43,-0.752845764
2,3,1,30.54872894,30,0.548728943
2,3,1,30.54872894,31,-0.451271057
2,3,2,42.72945404,42,0.729454041
2,3,2,42.72945404,43,-0.270545959
2,3,3,52.23625565,52,0.236255646
2,3,3,52.23625565,53,-0.763744354
2,3,4,48.06995392,48,0.069953918
2,3,4,48.06995392,49,-0.930046082
2,3,5,43.76091766,43,0.760917664
2,3,5,43.76091766,44,-0.239082336
2,4,1,29.69268036,29,0.692680359
2,4,1,29.69268036,30,-0.307319641
2,4,2,37.48007965,37,0.480079651
2,4,2,37.48007965,38,-0.519920349
2,4,3,48.39845276,48,0.398452759
2,4,3,48.39845276,49,-0.601547241
2,4,4,54.63850403,54,0.638504028
2,4,4,54.63850403,55,-0.361495972
2,4,5,52.60961533,52,0.609615326
2,4,5,52.60961533,53,-0.390384674
2,5,1,29.19632149,29,0.196321487
2,5,1,29.19632149,30,-0.803678513
2,5,2,43.48088074,43,0.480880737
2,5,2,43.48088074,44,-0.519119263
2,5,3,44.42565536,44,0.425655365
2,5,3,44.42565536,45,-0.574344635
2,5,4,48.04748154,48,0.047481537
2,5,4,48.04748154,49,-0.952518463
2,5,5,57.68034744,57,0.680347443
2,5,5,57.68034744,58,-0.319652557
3,1,1,36.67009354,36,0.670093536
3,1,1,36.67009354,37,-0.329906464
3,1,2,44.98189545,44,0.981895447
3,1,2,44.98189545,45,-0.018104553
3,1,3,54.26463318,54,0.264633179
3,1,3,54.26463318,55,-0.735366821
3,1,4,64.31517029,64,0.315170288
3,1,4,64.31517029,65,-0.684829712
3,1,5,70.02669525,70,0.026695251
3,1,5,70.02669525,71,-0.973304749
3,2,1,39.43920135,39,0.439201355
3,2,1,39.43920135,40,-0.560798645
3,2,2,44.74127197,44,0.741271973
3,2,2,44.74127197,45,-0.258728027
3,2,3,57.43201065,57,0.432010651
3,2,3,57.43201065,58,-0.567989349
3,2,4,64.55876923,64,0.558769226
3,2,4,64.55876923,65,-0.441230774
3,2,5,64.38557434,64,0.385574341
3,2,5,64.38557434,65,-0.614425659
3,3,1,52.44220352,52,0.442203522
3,3,1,52.44220352,53,-0.557796478
3,3,2,51.26741028,51,0.267410278
3,3,2,51.26741028,52,-0.732589722
3,3,3,60.15410614,60,0.15410614
3,3,3,60.15410614,61,-0.84589386
3,3,4,64.63632965,64,0.636329651
3,3,4,64.63632965,65,-0.363670349
3,3,5,63.65486526,63,0.654865265
3,3,5,63.65486526,64,-0.345134735
3,4,1,33.36644745,33,0.366447449
3,4,1,33.36644745,34,-0.633552551
3,4,2,55.70148087,55,0.701480865
3,4,2,55.70148087,56,-0.298519135
3,4,3,64.95132446,64,0.951324463
3,4,3,64.95132446,65,-0.048675537
3,4,4,71.34438324,71,0.34438324
3,4,4,71.34438324,72,-0.65561676
3,4,5,70.03986359,70,0.039863586
3,4,5,70.03986359,71,-0.960136414
3,5,1,21.67307854,21,0.673078537
3,5,1,21.67307854,22,-0.326921463
3,5,2,50.89835358,50,0.898353577
3,5,2,50.89835358,51,-0.101646423
3,5,3,61.21792984,61,0.21792984
