compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss,,,,,
1,4,3,9,1,2,2,43.6,42,1.6,,,,,
3,5,4,8,2,11,1,73,74,1,,,,,
2,5,4,10,1,11,1,60.6,46,14.6,,,,,
4,5,5,3,2,15,1,90.1,98,7.9,,,,,
1,5,5,10,2,15,1,57.5,63,5.5,,,,,
3,5,3,8,1,9,1,65.4,92,26.6,,,,,
3,4,5,13,2,14,1,73.7,78,4.3,,,,,
1,5,3,10,1,9,2,41.5,38,3.5,,,,,
3,2,5,2,2,13,2,72.3,76,3.7,,,,,
2,5,5,10,2,15,1,67.1,82,14.9,,,,,
3,5,3,8,1,9,1,65.4,63,2.4,,,,,
1,2,1,5,1,7,2,25.2,23,2.2,,,,,
3,5,5,8,2,15,1,77.9,98,20.1,,,,,
4,5,2,3,1,9,1,70.8,77,6.2,,,,,
4,4,4,7,2,6,1,83.7,92,8.3,,,,,
4,5,5,3,2,15,1,90.1,75,15.1,,,,,
5,5,5,11,2,15,1,95.6,97,1.4,,,,,
4,5,5,3,2,15,1,90.1,99,8.9,,,,,
3,4,3,13,1,2,1,64.4,90,25.6,,,,,
3,4,5,13,2,14,1,73.7,90,16.3,,,,,
3,3,3,6,1,1,2,63,65,2,,,,,
3,3,1,6,1,4,2,47.6,56,8.4,,,,,
2,5,3,10,1,9,1,54.7,63,8.3,,,,,
2,5,3,10,1,9,1,54.7,55,0.3,,,,,
1,4,4,9,1,6,2,48.4,51,2.6,,,,,
3,5,5,8,2,15,1,77.9,56,21.9,,,,,
2,5,3,10,1,9,1,54.7,41,13.7,,,,,
2,4,3,14,1,2,2,50.6,41,9.6,,,,,
3,4,3,13,1,2,1,64.4,49,15.4,,,,,
3,5,5,8,2,15,1,77.9,82,4.1,,,,,
5,5,5,11,2,15,1,95.6,95,0.6,,,,,
5,3,4,4,2,3,1,94.5,92,2.5,,,,,
5,1,5,1,2,13,1,93.7,94,0.3,,,,,
4,5,5,3,2,15,1,90.1,97,6.9,,,,,
1,3,2,15,1,4,2,30.5,33,2.5,,,,,
4,5,5,3,2,15,1,90.1,95,4.9,,,,,
1,1,1,12,1,10,2,17.9,23,5.1,,,,,
3,5,5,8,2,15,1,77.9,93,15.1,,,,,
3,5,3,8,1,9,1,65.4,73,7.6,,,,,
2,5,5,10,2,15,1,67.1,48,19.1,,,,,
5,5,5,11,2,15,1,95.6,94,1.6,,,,,
3,5,4,8,2,11,1,73,81,8,,,,,
5,5,5,11,2,15,1,95.6,99,3.4,,,,,
3,5,5,8,2,15,1,77.9,97,19.1,,,,,
2,4,3,14,1,2,2,50.6,63,12.4,,,,,
3,4,3,13,1,2,1,64.4,73,8.6,,,,,
5,3,3,4,2,1,1,88.6,95,6.4,,,,,
3,5,5,8,2,15,1,77.9,94,16.1,,,,,
3,5,5,8,2,15,1,77.9,92,14.1,,,,,
2,4,3,14,1,2,2,50.6,53,2.4,,,,,
5,5,5,11,2,15,1,95.6,94,1.6,,,,,
1,3,1,15,1,4,2,23.5,31,7.5,,,,,
1,3,3,15,1,1,2,38.9,25,13.9,,,,,
1,5,3,10,1,9,2,41.5,31,10.5,,,,,
3,5,3,8,1,9,1,65.4,76,10.6,,,,,
4,4,4,7,2,6,1,83.7,91,7.3,,,,,
2,3,1,15,1,4,2,33.2,29,4.2,,,,,
3,5,5,8,2,15,1,77.9,93,15.1,,,,,
1,5,5,10,2,15,1,57.5,28,29.5,,,,,
3,5,5,8,2,15,1,77.9,77,0.9,,,,,
5,5,3,11,2,9,1,84.9,95,10.1,,,,,
1,2,3,5,1,12,2,36.4,25,11.4,,,,,
5,5,5,11,2,15,1,95.6,88,7.6,,,,,
3,3,5,6,2,5,1,80,43,37,,,,,
5,5,3,11,2,9,1,84.9,85,0.1,,,,,
2,5,3,10,1,9,1,54.7,43,11.7,,,,,
3,4,3,13,1,2,1,64.4,80,15.6,,,,,
3,5,5,8,2,15,1,77.9,89,11.1,,,,,
3,3,5,6,2,5,1,80,66,14,,,,,
1,4,3,9,1,2,2,43.6,38,5.6,,,,,
1,5,5,10,2,15,1,57.5,45,12.5,,,,,
4,5,5,3,2,15,1,90.1,88,2.1,,,,,
5,5,5,11,2,15,1,95.6,92,3.6,,,,,
