compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss,,,,,
1,4,3,9,1,2,2,38.9,42,3.1,,,,,
3,5,4,8,2,11,1,79.8,74,5.8,,,,,
2,5,4,10,1,11,1,47,46,1,,,,,
4,5,5,3,2,15,1,88.2,98,9.8,,,,,
1,5,5,10,2,15,1,52.8,63,10.2,,,,,
3,5,3,8,1,9,1,76.8,92,15.2,,,,,
3,4,5,13,2,14,1,77,78,1,,,,,
1,5,3,10,1,9,2,36.9,38,1.1,,,,,
3,2,5,2,2,13,2,70.4,76,5.6,,,,,
2,5,5,10,2,15,1,60.8,82,21.2,,,,,
3,5,3,8,1,9,1,76.8,63,13.8,,,,,
1,2,1,5,1,7,2,25.2,23,2.2,,,,,
3,5,5,8,2,15,1,86.3,98,11.7,,,,,
4,5,2,3,1,9,1,78.9,77,1.9,,,,,
4,4,4,7,2,6,1,91.1,92,0.9,,,,,
4,5,5,3,2,15,1,88.2,75,13.2,,,,,
5,5,5,11,2,15,1,92.2,97,4.8,,,,,
4,5,5,3,2,15,1,88.2,99,10.8,,,,,
3,4,3,13,1,2,1,71.8,90,18.2,,,,,
3,4,5,13,2,14,1,77,90,13,,,,,
3,3,3,6,1,1,2,67.4,65,2.4,,,,,
3,3,1,6,1,4,2,52.1,56,3.9,,,,,
2,5,3,10,1,9,1,49.3,63,13.7,,,,,
2,5,3,10,1,9,1,49.3,55,5.7,,,,,
1,4,4,9,1,6,2,45.3,51,5.7,,,,,
3,5,5,8,2,15,1,86.3,56,30.3,,,,,
2,5,3,10,1,9,1,49.3,41,8.3,,,,,
2,4,3,14,1,2,2,49.7,41,8.7,,,,,
3,4,3,13,1,2,1,71.8,49,22.8,,,,,
3,5,5,8,2,15,1,86.3,82,4.3,,,,,
5,5,5,11,2,15,1,92.2,95,2.8,,,,,
5,3,4,4,2,3,1,87.3,92,4.7,,,,,
5,1,5,1,2,13,1,86.5,94,7.5,,,,,
4,5,5,3,2,15,1,88.2,97,8.8,,,,,
1,3,2,15,1,4,2,33.2,33,0.2,,,,,
4,5,5,3,2,15,1,88.2,95,6.8,,,,,
1,1,1,12,1,10,2,25.1,23,2.1,,,,,
3,5,5,8,2,15,1,86.3,93,6.7,,,,,
3,5,3,8,1,9,1,76.8,73,3.8,,,,,
2,5,5,10,2,15,1,60.8,48,12.8,,,,,
5,5,5,11,2,15,1,92.2,94,1.8,,,,,
3,5,4,8,2,11,1,79.8,81,1.2,,,,,
5,5,5,11,2,15,1,92.2,99,6.8,,,,,
3,5,5,8,2,15,1,86.3,97,10.7,,,,,
2,4,3,14,1,2,2,49.7,63,13.3,,,,,
3,4,3,13,1,2,1,71.8,73,1.2,,,,,
5,3,3,4,2,1,1,85.5,95,9.5,,,,,
3,5,5,8,2,15,1,86.3,94,7.7,,,,,
3,5,5,8,2,15,1,86.3,92,5.7,,,,,
2,4,3,14,1,2,2,49.7,53,3.3,,,,,
5,5,5,11,2,15,1,92.2,94,1.8,,,,,
1,3,1,15,1,4,2,32.8,31,1.8,,,,,
1,3,3,15,1,1,2,37.1,25,12.1,,,,,
1,5,3,10,1,9,2,36.9,31,5.9,,,,,
3,5,3,8,1,9,1,76.8,76,0.8,,,,,
4,4,4,7,2,6,1,91.1,91,0.1,,,,,
2,3,1,15,1,4,2,33.3,29,4.3,,,,,
3,5,5,8,2,15,1,86.3,93,6.7,,,,,
1,5,5,10,2,15,1,52.8,28,24.8,,,,,
3,5,5,8,2,15,1,86.3,77,9.3,,,,,
5,5,3,11,2,9,1,85.6,95,9.4,,,,,
1,2,3,5,1,12,2,27.6,25,2.6,,,,,
5,5,5,11,2,15,1,92.2,88,4.2,,,,,
3,3,5,6,2,5,1,63,43,20,,,,,
5,5,3,11,2,9,1,85.6,85,0.6,,,,,
2,5,3,10,1,9,1,49.3,43,6.3,,,,,
3,4,3,13,1,2,1,71.8,80,8.2,,,,,
3,5,5,8,2,15,1,86.3,89,2.7,,,,,
3,3,5,6,2,5,1,63,66,3,,,,,
1,4,3,9,1,2,2,38.9,38,0.9,,,,,
1,5,5,10,2,15,1,52.8,45,7.8,,,,,
4,5,5,3,2,15,1,88.2,88,0.2,,,,,
5,5,5,11,2,15,1,92.2,92,0.2,,,,,
