compliance,acceleration,deceleration,result,new,predict,,,,,,,,,,,,
5,4,3,62,4.285714286,2,0,,,,,,,,,,,
3,5,3,62,3.285714286,2,0,,,,,,,,,,,
5,4,3,62,4.285714286,2,0,,,,,,,,,,,
2,5,5,60,3.285714286,2,0,,,,,,,,,,,
3,5,4,59,3.571428571,2,0,,,,,,,,,,,
1,5,5,58,2.714285714,2,0,,,,,,,,,,,
3,3,1,56,2.428571429,2,0,,,,,,,,,,,
3,3,1,56,2.428571429,2,0,,,,,,,,,,,
3,5,5,56,3.857142857,2,0,,,,,,,,,,,
2,5,3,55,2.714285714,2,0,,,,,,,,,,,
1,1,5,53,2.142857143,2,0,,,,,,,,,,,
2,3,4,53,2.714285714,2,0,,,,,,,,,,,
2,4,3,53,2.571428571,2,0,,,,,,,,,,,
1,4,4,51,2.285714286,2,0,,,,,,,,,,,
1,3,4,50,2.142857143,2,0,,,,,,,,,,,
1,3,4,50,2.142857143,2,0,,,,,,,,,,,
1,3,5,49,2.428571429,2,0,,,,,,,,,,,
3,4,3,49,3.142857143,2,0,,,,,,,,,,,
2,5,4,48,3,2,0,,,,,,,,,,,
2,5,5,48,3.285714286,2,0,,,,,,,,,,,
1,5,3,46,2.142857143,2,0,,,,,,,,,,,
1,5,3,46,2.142857143,2,0,,,,,,,,,,,
2,5,4,46,3,2,0,,,,,,,,,,,
3,4,5,45,3.714285714,2,0,,,,,,,,,,,
2,5,5,45,3.285714286,2,0,,,,,,,,,,,
1,5,5,45,2.714285714,2,0,,,,,,,,,,,
1,5,4,43,2.428571429,2,0,,,,,,,,,,,
2,5,3,43,2.714285714,2,0,,,,,,,,,,,
3,3,5,43,3.571428571,2,0,,,,,,,,,,,
2,5,3,43,2.714285714,2,0,,,,,,,,,,,
1,4,3,42,2,2,0,,,,,,,,,,,
1,4,3,42,2,2,0,,,,,,,,,,,
2,5,3,41,2.714285714,2,0,,,,,,,,,,,
2,4,3,41,2.571428571,2,0,,,,,,,,,,,
1,3,3,40,1.857142857,2,111,,,,,,,,,,,
1,5,4,39,2.428571429,1,0,,,,,,,,,,,
1,3,1,38,1.285714286,1,0,,,,,,,,,,,
1,5,3,38,2.142857143,1,0,,,,,,,,,,,
1,4,3,38,2,1,0,,,,,,,,,,,
3,3,1,35,2.428571429,1,0,,,,,,,,,,,
1,3,2,33,1.571428571,1,0,,,,,,,,,,,
5,1,1,32,3.285714286,1,0,,,,,,,,,,,
1,5,3,32,2.142857143,1,0,,,,,,,,,,,
5,5,1,31,3.857142857,1,0,,,,,,,,,,,
5,5,1,31,3.857142857,1,0,,,,,,,,,,,
1,5,3,31,2.142857143,1,0,,,,,,,,,,,
1,3,1,31,1.285714286,1,0,,,,,,,,,,,
1,3,1,31,1.285714286,1,0,,,,,,,,,,,
1,3,1,31,1.285714286,1,0,,,,,,,,,,,
1,5,3,31,2.142857143,1,0,,,,,,,,,,,
2,3,2,30,2.142857143,1,0,,,,,,,,,,,
1,4,3,30,2,1,0,,,,,,,,,,,
2,3,1,29,1.857142857,1,0,,,,,,,,,,,
1,1,1,28,1,1,0,,,,,,,,,,,
1,5,5,28,2.714285714,1,0,,,,,,,,,,,
1,5,5,28,2.714285714,1,0,,,,,,,,,,,
1,5,1,27,1.571428571,1,0,,,,,,,,,,,
1,4,1,27,1.428571429,1,0,,,,,,,,,,,
1,1,3,25,1.571428571,1,0,,,,,,,,,,,
1,2,3,25,1.714285714,1,0,,,,,,,,,,,
1,1,1,25,1,1,0,,,,,,,,,,,
1,3,3,25,1.857142857,1,0,,,,,,,,,,,
1,2,3,25,1.714285714,1,0,,,,,,,,,,,
1,5,1,24,1.571428571,1,0,,,,,,,,,,,
1,2,1,24,1.142857143,1,0,,,,,,,,,,,
1,1,1,24,1,1,0,,,,,,,,,,,
1,2,1,24,1.142857143,1,0,,,,,,,,,,,
1,1,1,24,1,1,0,,,,,,,,,,,
2,1,1,24,1.571428571,1,0,,,,,,,,,,,
1,5,1,24,1.571428571,1,0,,,,,,,,,,,
1,1,1,23,1,1,0,,,,,,,,,,,
1,2,1,23,1.142857143,1,0,,,,,,,,,,,
1,1,1,23,1,1,0,,,,,,,,,,,
