compl,accel,decel,pred,answer,loss
1,1,1,22.79726028,1,21.79726028
1,1,1,22.79726028,2,20.79726028
1,1,1,22.79726028,3,19.79726028
1,1,1,22.79726028,4,18.79726028
1,1,1,22.79726028,5,17.79726028
1,1,1,22.79726028,6,16.79726028
1,1,1,22.79726028,7,15.79726028
1,1,1,22.79726028,8,14.79726028
1,1,1,22.79726028,9,13.79726028
1,1,1,22.79726028,10,12.79726028
1,1,1,22.79726028,11,11.79726028
1,1,1,22.79726028,12,10.79726028
1,1,1,22.79726028,13,9.797260284
1,1,1,22.79726028,14,8.797260284
1,1,1,22.79726028,15,7.797260284
1,1,1,22.79726028,16,6.797260284
1,1,1,22.79726028,17,5.797260284
1,1,1,22.79726028,18,4.797260284
1,1,1,22.79726028,19,3.797260284
1,1,1,22.79726028,20,2.797260284
1,1,1,22.79726028,21,1.797260284
1,1,1,22.79726028,22,0.797260284
1,1,1,22.79726028,23,-0.202739716
1,1,1,22.79726028,24,-1.202739716
1,1,1,22.79726028,25,-2.202739716
1,1,1,22.79726028,26,-3.202739716
1,1,1,22.79726028,27,-4.202739716
1,1,1,22.79726028,28,-5.202739716
1,1,1,22.79726028,29,-6.202739716
1,1,1,22.79726028,30,-7.202739716
1,1,1,22.79726028,31,-8.202739716
1,1,1,22.79726028,32,-9.202739716
1,1,1,22.79726028,33,-10.20273972
1,1,1,22.79726028,34,-11.20273972
1,1,1,22.79726028,35,-12.20273972
1,1,1,22.79726028,36,-13.20273972
1,1,1,22.79726028,37,-14.20273972
1,1,1,22.79726028,38,-15.20273972
1,1,1,22.79726028,39,-16.20273972
1,1,1,22.79726028,40,-17.20273972
1,1,1,22.79726028,41,-18.20273972
1,1,1,22.79726028,42,-19.20273972
1,1,1,22.79726028,43,-20.20273972
1,1,1,22.79726028,44,-21.20273972
1,1,1,22.79726028,45,-22.20273972
1,1,1,22.79726028,46,-23.20273972
1,1,1,22.79726028,47,-24.20273972
1,1,1,22.79726028,48,-25.20273972
1,1,1,22.79726028,49,-26.20273972
1,1,1,22.79726028,50,-27.20273972
1,1,1,22.79726028,51,-28.20273972
1,1,1,22.79726028,52,-29.20273972
1,1,1,22.79726028,53,-30.20273972
1,1,1,22.79726028,54,-31.20273972
1,1,1,22.79726028,55,-32.20273972
1,1,1,22.79726028,56,-33.20273972
1,1,1,22.79726028,57,-34.20273972
1,1,1,22.79726028,58,-35.20273972
1,1,1,22.79726028,59,-36.20273972
1,1,1,22.79726028,60,-37.20273972
1,1,1,22.79726028,61,-38.20273972
1,1,1,22.79726028,62,-39.20273972
1,1,1,22.79726028,63,-40.20273972
1,1,1,22.79726028,64,-41.20273972
1,1,1,22.79726028,65,-42.20273972
1,1,1,22.79726028,66,-43.20273972
1,1,1,22.79726028,67,-44.20273972
1,1,1,22.79726028,68,-45.20273972
1,1,1,22.79726028,69,-46.20273972
1,1,1,22.79726028,70,-47.20273972
1,1,1,22.79726028,71,-48.20273972
1,1,1,22.79726028,72,-49.20273972
1,1,1,22.79726028,73,-50.20273972
1,1,1,22.79726028,74,-51.20273972
1,1,1,22.79726028,75,-52.20273972
1,1,1,22.79726028,76,-53.20273972
1,1,1,22.79726028,77,-54.20273972
1,1,1,22.79726028,78,-55.20273972
1,1,1,22.79726028,79,-56.20273972
1,1,1,22.79726028,80,-57.20273972
1,1,1,22.79726028,81,-58.20273972
1,1,1,22.79726028,82,-59.20273972
1,1,1,22.79726028,83,-60.20273972
1,1,1,22.79726028,84,-61.20273972
1,1,1,22.79726028,85,-62.20273972
1,1,1,22.79726028,86,-63.20273972
1,1,1,22.79726028,87,-64.20273972
1,1,1,22.79726028,88,-65.20273972
1,1,1,22.79726028,89,-66.20273972
1,1,1,22.79726028,90,-67.20273972
1,1,1,22.79726028,91,-68.20273972
1,1,1,22.79726028,92,-69.20273972
1,1,1,22.79726028,93,-70.20273972
1,1,1,22.79726028,94,-71.20273972
1,1,1,22.79726028,95,-72.20273972
1,1,1,22.79726028,96,-73.20273972
1,1,1,22.79726028,97,-74.20273972
1,1,1,22.79726028,98,-75.20273972
1,1,1,22.79726028,99,-76.20273972
1,1,1,22.79726028,100,-77.20273972
1,1,2,22.63945007,1,21.63945007
1,1,2,22.63945007,2,20.63945007
1,1,2,22.63945007,3,19.63945007
1,1,2,22.63945007,4,18.63945007
